idx_int,idx_str,url,pa_null,np_nan,np_inf,np_negative_inf,np_int16,one_value_string,one_value_int,one_value_float,one_value_bool,int8,int16,int32,int64,uint8,uint16,uint32,uint64,halffloat,float,double,bool,bool_with_nulls,int_with_nulls,string,string_with_nulls,datetime,datetime_with_nulls,list_of_integers,list_of_strings,blob,dict,dict_with_nulls,struct,struct_with_nulls,s3_url,s3_alternative_url
99,s99,https://placehold.co/399x301.png,,,inf,-inf,99,single value,1,1.23456789,True,62,426,-873,-105,57,852,951,950,0.3628,0.8949214,0.48090383144898485,False,True,3.0,emoji 🤣,,2023-09-03,2023-01-21,[43 67],['Lhf' 'x9IwiL' 'yccSXGj3i'],b'\xb4\xbd\xdb\xc6\xce\xe3\x9f',"[('zLQ', 39)]",,"{'x': 54, 'y': '9RP'}","{'x': 21, 'y': '3R5'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
100,s100,https://placehold.co/400x300.png,,,inf,-inf,100,single value,1,1.23456789,True,17,661,-983,-841,147,909,314,288,0.861,0.8601268,0.040754106092472764,True,True,1.0,,c having special characters: !@#$%^&*(),2023-10-02,2023-11-03,[50 12 82],['5ty' 'M0KFFE' 'IDbugzt32'],b'v\xeb\xb9\xfbE\x93\x0e',"[('pyv', 0)]","[('UvI', 43)]","{'x': 84, 'y': 'x4G'}","{'x': 28, 'y': 'MCA'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
101,s101,https://placehold.co/401x299.png,,,inf,-inf,101,single value,1,1.23456789,True,89,153,816,498,219,577,876,253,0.2195,0.4574321,0.16399948098949724,True,False,,c having special characters: !@#$%^&*(),,2023-02-01,2023-02-07,[55 75 50 36],,b'SYr\xbf\xcb',"[('sXi', 62)]","[('ltn', 26)]","{'x': 84, 'y': 'pdm'}","{'x': 41, 'y': 'Yxn'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
102,s102,https://placehold.co/402x298.png,,,inf,-inf,102,single value,1,1.23456789,True,-85,76,758,-149,199,74,965,195,0.9746,0.39116976,0.4386072164895384,True,True,3.0,"multiple
lines	string","multiple
lines	string",2023-05-17,2023-10-03,[89 28 32],['NLq' 'O8JodD' 'GSWxYpJRl'],b'\x00c\xf9\x07\xa4\x0e\xc8v',"[('L2F', 41)]","[('JlU', 77)]","{'x': 64, 'y': 'RqC'}","{'x': 30, 'y': 'AaE'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
103,s103,https://placehold.co/403x297.png,,,inf,-inf,103,single value,1,1.23456789,True,33,707,-435,687,60,434,740,597,0.78,0.27295938,0.7248265598740583,True,False,2.0,"multiple
lines	string","multiple
lines	string",2023-01-12,2023-06-06,[54],,b'|;Mj\x94Q',"[('0Ht', 80)]","[('5lT', 96)]","{'x': 63, 'y': '6eO'}","{'x': 17, 'y': 'TSq'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
104,s104,https://placehold.co/404x296.png,,,inf,-inf,104,single value,1,1.23456789,True,73,-271,-431,931,126,102,376,833,0.11426,0.47667682,0.5932786483101787,True,,1.0,emoji 🤣,"multiple
lines	string",2023-10-29,2023-06-28,,['Bzz' 'mFLD0T' 'RGI9Dx7CH'],b';KJ\xa1w',"[('TIn', 98)]",,"{'x': 22, 'y': 'P4w'}","{'x': 16, 'y': '5Jc'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
105,s105,https://placehold.co/405x295.png,,,inf,-inf,105,single value,1,1.23456789,True,61,695,346,-311,104,421,288,521,0.566,0.044376664,0.6502941858734539,False,,3.0,c having special characters: !@#$%^&*(),emoji 🤣,2023-01-16,2023-05-12,[12],['HP1' 'QXqE7r' 's68VRQEDI'],b'\xd8\xf4\xd1m7\x08',"[('nSQ', 7)]","[('opq', 91)]","{'x': 76, 'y': 'gs2'}","{'x': 86, 'y': 'cDw'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
106,s106,https://placehold.co/406x294.png,,,inf,-inf,106,single value,1,1.23456789,True,99,733,895,698,166,703,436,516,0.9854,0.85219353,0.4792789285762873,True,True,,,a with space,2023-05-09,2023-11-07,[10 16 67 46],['5Sr' 'JH3yvV' 'jc7e5OUnZ'],b'\xe7>FS\xfe~y\xbc',"[('5iS', 16)]","[('oZZ', 53)]","{'x': 86, 'y': 'x8F'}","{'x': 55, 'y': 'J7e'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
107,s107,https://placehold.co/407x293.png,,,inf,-inf,107,single value,1,1.23456789,True,-115,439,-315,-621,0,763,661,634,0.471,0.03542237,0.6157420219422428,True,False,2.0,c having special characters: !@#$%^&*(),"multiple
lines	string",2023-03-04,2023-12-14,[20],['qIq' 'gTod4n' 'oguDQi78j'],b'L\x90\xb1\xaa\xe5pN\xd3',"[('8lH', 89)]",,"{'x': 20, 'y': 'S4E'}","{'x': 55, 'y': 'TG1'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
108,s108,https://placehold.co/408x292.png,,,inf,-inf,108,single value,1,1.23456789,True,-34,-754,815,568,130,737,276,841,0.1821,0.32905138,0.3290174378146622,True,,1.0,a with space,c having special characters: !@#$%^&*(),2023-04-19,2023-01-28,[11 36 41],['O2D' 'OUrrdV' 'OoT0c5zZ5'],b'J\t\xbf?\xe0\xff\r\xd0',"[('NSV', 37)]","[('wWh', 12)]","{'x': 22, 'y': 'Lfm'}","{'x': 56, 'y': 'UrG'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
109,s109,https://placehold.co/409x291.png,,,inf,-inf,109,single value,1,1.23456789,True,-81,-165,-375,952,204,805,709,864,0.4849,0.9315895,0.47018259269666507,True,False,1.0,c having special characters: !@#$%^&*(),"multiple
lines	string",2023-01-21,2023-09-17,[47 27],['cZW' 'lU2rcs' 'L5uCNG3iF'],b'\xaf\x8aL\x18\x1ax',"[('IK6', 77)]","[('e7E', 34)]","{'x': 43, 'y': '7IS'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
110,s110,https://placehold.co/410x290.png,,,inf,-inf,110,single value,1,1.23456789,True,-114,462,311,-44,91,305,581,117,0.5127,0.7352127,0.7442790655949556,True,False,3.0,a with space,emoji 🤣,2023-06-07,2023-03-17,[46 17 77],['qYu' 'TOSaus' 'PlLNzAuyf'],b'l\x91d',"[('SP3', 34)]","[('a17', 28)]","{'x': 46, 'y': 'c5s'}","{'x': 0, 'y': 'GLp'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
111,s111,https://placehold.co/411x289.png,,,inf,-inf,111,single value,1,1.23456789,True,71,-798,966,-310,189,97,502,805,0.7417,0.28139096,0.8718327789731212,True,True,2.0,a with space,,2023-09-26,2023-03-08,[70],['8D6' 'axBquK' 'JqwoPCjQ5'],"b'""'","[('H2A', 71)]",,"{'x': 41, 'y': 'EUb'}","{'x': 92, 'y': 'NPP'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
112,s112,https://placehold.co/412x288.png,,,inf,-inf,112,single value,1,1.23456789,True,77,207,-147,450,248,849,623,908,0.6987,0.2526491,0.4336553339563889,True,,2.0,,c having special characters: !@#$%^&*(),2023-06-11,2023-12-08,[12 99],,,"[('agx', 53)]","[('0xt', 21)]","{'x': 47, 'y': 'Qws'}","{'x': 64, 'y': 'QHJ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
113,s113,https://placehold.co/413x287.png,,,inf,-inf,113,single value,1,1.23456789,True,86,-878,686,636,190,797,515,158,0.4026,0.0050821397,0.04366165770736119,False,True,2.0,emoji 🤣,emoji 🤣,2023-09-17,2023-07-13,[ 8 72 37 74],['3VQ' 'N6wn7D' 'C9xR4UXZV'],b'\xb5c\xf0',"[('ddq', 12)]","[('32J', 68)]","{'x': 5, 'y': '98r'}","{'x': 90, 'y': 'M4H'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
114,s114,https://placehold.co/414x286.png,,,inf,-inf,114,single value,1,1.23456789,True,123,-600,-39,291,251,334,349,814,0.218,0.6957143,0.16167254414680265,False,True,2.0,c having special characters: !@#$%^&*(),,2023-04-12,2023-06-11,[96 99],['QKW' 'GGw4gZ' '3mHk0BQSE'],"b'""\x8be;U'","[('W8Q', 34)]","[('rlV', 88)]","{'x': 56, 'y': 'dpy'}","{'x': 15, 'y': 'aC4'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
115,s115,https://placehold.co/415x285.png,,,inf,-inf,115,single value,1,1.23456789,True,120,-234,662,858,112,858,842,227,0.645,0.04878358,0.0208611392915381,True,,,a with space,c having special characters: !@#$%^&*(),2023-08-11,2023-12-13,[33],['3Bd' 'izIIPt' 'bpaneARHd'],,"[('jdW', 68)]","[('FyU', 0)]","{'x': 89, 'y': '996'}","{'x': 60, 'y': 'Juv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
116,s116,https://placehold.co/416x284.png,,,inf,-inf,116,single value,1,1.23456789,True,61,-707,-846,600,152,434,445,876,0.4216,0.53260255,0.6532630192373301,False,,2.0,c having special characters: !@#$%^&*(),,2023-02-28,2023-12-27,[ 6 35 17  2],['39D' 'rliNT7' 'x3B4xe72i'],b'\xb0\xcd',"[('mHw', 48)]","[('hGA', 86)]","{'x': 44, 'y': '6nv'}","{'x': 25, 'y': '8sk'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
117,s117,https://placehold.co/417x283.png,,,inf,-inf,117,single value,1,1.23456789,True,-89,-721,-511,440,55,446,829,215,0.1323,0.96212196,0.3323146253551089,False,False,1.0,emoji 🤣,a with space,2023-09-04,2023-09-14,[43 20 27 53],['1h9' 'yh8ZU8' 'CSAxoCjl2'],b'\xcexM\xd6\xff\x8e\xfa',"[('CMP', 33)]",,"{'x': 86, 'y': 'yiT'}","{'x': 64, 'y': 'RLs'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
118,s118,https://placehold.co/418x282.png,,,inf,-inf,118,single value,1,1.23456789,True,84,860,409,191,160,993,349,947,0.9004,0.10946886,0.5424786357193675,False,,1.0,emoji 🤣,a with space,2023-05-08,2023-03-13,[20 98 12 56],,b'\x02\xe2;',"[('InO', 4)]","[('6cv', 53)]","{'x': 91, 'y': 'GQ2'}","{'x': 63, 'y': 'WqN'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
119,s119,https://placehold.co/419x281.png,,,inf,-inf,119,single value,1,1.23456789,True,79,-117,-216,865,165,307,606,695,0.6914,0.89447993,0.49327684678379957,False,False,,"multiple
lines	string",emoji 🤣,2023-10-10,2023-03-28,[ 9 52],['VbO' 'M63oeK' 'BP2pcBHUW'],b'|l\xfff\x89',"[('yFX', 5)]","[('1WC', 28)]","{'x': 40, 'y': 'QzJ'}","{'x': 58, 'y': 'JJO'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
120,s120,https://placehold.co/420x280.png,,,inf,-inf,120,single value,1,1.23456789,True,108,633,127,66,116,248,663,14,0.683,0.99147534,0.0815264895524267,True,False,1.0,emoji 🤣,,2023-11-21,2023-09-19,[73],['i9o' '4JJVYo' '29GzrIKTk'],b'<&\x9d\xfd',"[('RQc', 63)]",,"{'x': 57, 'y': 'AtL'}","{'x': 43, 'y': 'sTb'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
121,s121,https://placehold.co/421x279.png,,,inf,-inf,121,single value,1,1.23456789,True,-47,-803,952,579,133,165,822,156,0.8228,0.061517026,0.4032613611238318,False,False,1.0,,a with space,2023-01-25,2023-08-02,,['QIc' 'vNxGRz' 'slHon1iCd'],b'\xaa*:',"[('xzW', 3)]",,"{'x': 5, 'y': 'BiO'}","{'x': 78, 'y': 'Ehe'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
122,s122,https://placehold.co/422x278.png,,,inf,-inf,122,single value,1,1.23456789,True,-18,-19,416,-716,57,480,136,647,0.53,0.88290626,0.22056112492232327,False,,2.0,a with space,,2023-05-11,2023-06-02,[ 1 85 80 99],['zzG' 'ypueBx' 'HZdxLceXK'],b'\x13\x95\x97:/\xbc\xc9\x91\xd2',"[('Q7d', 13)]","[('hGt', 66)]","{'x': 37, 'y': 'KQm'}","{'x': 67, 'y': 'WpM'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
123,s123,https://placehold.co/423x277.png,,,inf,-inf,123,single value,1,1.23456789,True,-76,930,834,-604,43,983,758,260,0.815,0.516079,0.4183997886676527,False,True,1.0,"multiple
lines	string",,2023-12-19,2023-07-29,[24  2 16],['Pnm' '4s4nlT' 'UU4RRyotr'],b'\xb6\x1a',"[('Um1', 6)]","[('aPx', 57)]","{'x': 74, 'y': 'iQ3'}","{'x': 15, 'y': 'rpT'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
124,s124,https://placehold.co/424x276.png,,,inf,-inf,124,single value,1,1.23456789,True,-105,534,-755,-989,172,334,898,156,0.498,0.9065137,0.20357828034224268,True,False,,,emoji 🤣,2023-07-15,2023-03-02,[23 28 42 24],['COt' 'w2CXSV' 'tmtc1TbIK'],b'2\xae\xe1\xfe\x94',"[('1Bn', 14)]","[('gw1', 0)]","{'x': 39, 'y': '4A4'}","{'x': 18, 'y': 'L4T'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
125,s125,https://placehold.co/425x275.png,,,inf,-inf,125,single value,1,1.23456789,True,25,-249,199,630,159,541,242,46,0.0672,0.5713189,0.8404524062769335,True,True,2.0,c having special characters: !@#$%^&*(),emoji 🤣,2023-10-08,2023-09-25,[89 64 83 27],['Ssm' 'oJpI6u' 'VESTCTviH'],b'\xf5vm\xdc',"[('NRw', 34)]","[('lqq', 28)]","{'x': 98, 'y': 'VOJ'}","{'x': 49, 'y': 'Owk'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
126,s126,https://placehold.co/426x274.png,,,inf,-inf,126,single value,1,1.23456789,True,88,-857,62,325,172,758,542,323,0.4053,0.662112,0.17419333657825364,True,True,3.0,a with space,emoji 🤣,2023-06-03,2023-09-19,[91],['l39' '7G0eYd' 'aiNejnCdN'],b'\xa5^\x9f\xf0',"[('KTm', 18)]","[('7vl', 7)]","{'x': 18, 'y': 'jeH'}","{'x': 11, 'y': 'Wol'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
127,s127,https://placehold.co/427x273.png,,,inf,-inf,127,single value,1,1.23456789,True,123,-392,500,921,60,105,39,843,0.4976,0.5437789,0.9607805514869769,True,,2.0,emoji 🤣,a with space,2023-05-13,2023-08-06,[52 41 58],['54O' 'aGzbSH' 'rFRA6l4Go'],b'\x9aL',"[('SlB', 34)]","[('AzU', 50)]","{'x': 87, 'y': 'Sl0'}","{'x': 31, 'y': 'Gc9'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
128,s128,https://placehold.co/428x272.png,,,inf,-inf,128,single value,1,1.23456789,True,59,224,705,276,46,562,228,684,0.72,0.8644929,0.4159073661469408,True,True,,a with space,emoji 🤣,2023-08-15,2023-10-10,[33],['Mpv' 'Xe7CpR' 'sZe9ObzxD'],b'w\x1b',"[('8e7', 47)]","[('wyB', 59)]","{'x': 61, 'y': 'jbt'}","{'x': 0, 'y': '7KY'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
129,s129,https://placehold.co/429x271.png,,,inf,-inf,129,single value,1,1.23456789,True,-5,147,-242,-502,148,80,547,129,0.10657,0.7339099,0.8462452920190493,True,True,2.0,c having special characters: !@#$%^&*(),a with space,2023-07-08,2023-05-16,[95 95 24],['NRf' '0Nu883' '4o3QJq5Qr'],b'\xabc\xb3\xa1\x84',"[('Thc', 23)]","[('J8Q', 90)]","{'x': 24, 'y': '87s'}","{'x': 57, 'y': 'ZUz'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
130,s130,https://placehold.co/430x270.png,,,inf,-inf,130,single value,1,1.23456789,True,108,-814,-463,-247,79,132,919,410,0.14,0.5212603,0.6287648182059451,True,,2.0,"multiple
lines	string",emoji 🤣,2023-09-22,2023-12-28,[ 6 56],['HOl' '0amiYY' '5sIJ0PHxT'],b'\xe83\r\xa6\xb5t\xde\x11\xc9',"[('rqj', 16)]","[('YSX', 83)]","{'x': 97, 'y': 'UYN'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
131,s131,https://placehold.co/431x269.png,,,inf,-inf,131,single value,1,1.23456789,True,-88,349,890,-966,117,796,222,94,0.2637,0.8681608,0.7353502986657526,False,False,,"multiple
lines	string","multiple
lines	string",2023-05-14,2023-04-03,[79 42 99 76],['XQe' 'UvgoeL' 'MK8uNWBoI'],b'?',"[('0aC', 49)]","[('I1m', 72)]","{'x': 97, 'y': 'Tjl'}","{'x': 44, 'y': 'xOT'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
132,s132,https://placehold.co/432x268.png,,,inf,-inf,132,single value,1,1.23456789,True,28,-537,841,-274,212,899,5,626,0.2666,0.24528553,0.7677238880667803,False,True,2.0,"multiple
lines	string",,2023-07-30,2023-04-19,[50 72 31],,b'\x8e',"[('6c5', 31)]","[('XTD', 18)]","{'x': 22, 'y': 'ib9'}","{'x': 22, 'y': 'kJ0'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
133,s133,https://placehold.co/433x267.png,,,inf,-inf,133,single value,1,1.23456789,True,-114,372,-80,-152,202,137,321,754,0.7324,0.15734066,0.5048448818930178,False,,,emoji 🤣,emoji 🤣,2023-03-01,2023-08-29,[86],['xlK' 'xVspeq' 'xWjywf6BV'],b'\xd5&\x86t\xf1\xee',"[('LVM', 69)]","[('aAi', 44)]","{'x': 15, 'y': 'MLL'}","{'x': 6, 'y': 'dqY'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
134,s134,https://placehold.co/434x266.png,,,inf,-inf,134,single value,1,1.23456789,True,-84,794,-593,-911,251,183,467,931,0.2507,0.16040011,0.5433005233632884,True,True,,,c having special characters: !@#$%^&*(),2023-12-30,2023-12-21,[44 85 58  3],['gfA' 'IFgfIL' 'W1azWSI9p'],b'\x93\xad',"[('0sW', 13)]","[('3NH', 12)]","{'x': 72, 'y': 'Kob'}","{'x': 26, 'y': 'dCD'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
135,s135,https://placehold.co/435x265.png,,,inf,-inf,135,single value,1,1.23456789,True,-64,-341,-476,-225,228,400,731,291,0.6333,0.33400887,0.513995867808725,True,True,3.0,,,2023-12-30,2023-05-22,[28],['GQk' 'qqjkrs' 'Ww6SEMCia'],b'v',"[('IeR', 78)]",,"{'x': 18, 'y': 'eWi'}","{'x': 78, 'y': 'D65'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
136,s136,https://placehold.co/436x264.png,,,inf,-inf,136,single value,1,1.23456789,True,-40,-237,-173,-396,163,329,74,793,0.4944,0.23869003,0.5880583780900792,True,False,1.0,a with space,,2023-08-01,2023-10-18,[76 78 86 43],['y0x' '1BAZOK' 'sLRDlytTN'],b'u\x04\x85\xcd\x13\x12\x8a\xaf',"[('G7G', 67)]","[('tEp', 51)]","{'x': 79, 'y': '0DO'}","{'x': 54, 'y': 'oQy'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
137,s137,https://placehold.co/437x263.png,,,inf,-inf,137,single value,1,1.23456789,True,-58,-46,529,945,226,784,3,810,0.573,0.93009037,0.029394445756507293,True,True,1.0,emoji 🤣,emoji 🤣,2023-08-04,2023-08-25,,['8Wu' 'rWw5m9' 'lVbT6mXZe'],b'\x9b\x9c\x97',"[('WjH', 79)]","[('1cg', 85)]","{'x': 54, 'y': 'lyD'}","{'x': 56, 'y': 'qGA'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
138,s138,https://placehold.co/438x262.png,,,inf,-inf,138,single value,1,1.23456789,True,-120,955,-98,-31,146,507,846,282,0.838,0.1058341,0.39551516984901525,True,,2.0,"multiple
lines	string",,2023-08-14,2023-12-06,[4],['0XP' 'ispjAx' 'BLKH51zc8'],b'$c',"[('zv2', 61)]","[('knp', 71)]","{'x': 88, 'y': 'koz'}","{'x': 1, 'y': 'rXx'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
139,s139,https://placehold.co/439x261.png,,,inf,-inf,139,single value,1,1.23456789,True,-41,-598,848,625,19,851,645,68,0.4043,0.69899076,0.6061887135611715,False,True,2.0,"multiple
lines	string",emoji 🤣,2023-05-11,2023-11-08,[49 74 14 31],['RYK' '4gpPkL' 'INO7uXggn'],b'#\xcf',"[('Pus', 89)]","[('0fU', 41)]","{'x': 5, 'y': '856'}","{'x': 96, 'y': 'tG7'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
140,s140,https://placehold.co/440x260.png,,,inf,-inf,140,single value,1,1.23456789,True,0,369,-965,21,184,983,117,659,0.771,0.18922155,0.5977235652558643,False,False,3.0,c having special characters: !@#$%^&*(),,2023-03-17,2023-06-26,,['UIQ' 'nxCQQj' '9Ds5fZTvv'],b'k\xebK\x18\xa7W\xdcZ',"[('6MD', 65)]","[('qwI', 25)]","{'x': 69, 'y': 'nPm'}","{'x': 37, 'y': 'gGv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
141,s141,https://placehold.co/441x259.png,,,inf,-inf,141,single value,1,1.23456789,True,107,986,-316,-583,145,68,880,10,0.422,0.88163716,0.7929560946056315,True,False,3.0,c having special characters: !@#$%^&*(),c having special characters: !@#$%^&*(),2023-10-13,2023-05-21,[89 70 56],['WGv' 'gSCecS' 'bvgX5TFIu'],b'\x07\\ \x08',"[('IUO', 7)]","[('Yvz', 76)]","{'x': 47, 'y': 'mk7'}","{'x': 77, 'y': '0LO'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
142,s142,https://placehold.co/442x258.png,,,inf,-inf,142,single value,1,1.23456789,True,7,534,-981,-886,46,545,605,253,0.3538,0.9613153,0.6550093388321085,True,,3.0,"multiple
lines	string",,2023-10-04,2023-07-08,[44 82],['ACX' 'NlOyT2' 'BAanrRXJX'],b'\x7f',"[('hvo', 42)]","[('vQL', 19)]","{'x': 30, 'y': 'BMQ'}","{'x': 34, 'y': 'qqX'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
143,s143,https://placehold.co/443x257.png,,,inf,-inf,143,single value,1,1.23456789,True,87,-854,-680,-384,232,773,503,841,0.9585,0.46547002,0.9921333163406724,True,False,,"multiple
lines	string",c having special characters: !@#$%^&*(),2023-06-05,2023-02-18,[71],['Hwm' 'hPE7ty' 'yhvCkPX4K'],b'\x8f\xb4\x06\xe2\xadc\xd0',"[('N4p', 44)]","[('JOH', 38)]","{'x': 29, 'y': '13A'}","{'x': 86, 'y': 'pKC'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
144,s144,https://placehold.co/444x256.png,,,inf,-inf,144,single value,1,1.23456789,True,-66,171,799,926,48,52,997,871,0.1843,0.8790715,0.283854528608645,True,True,3.0,emoji 🤣,a with space,2023-09-05,2023-10-29,[94 27 74],['Pto' 'hxiyKJ' 'AEH45kkrl'],"b'\xcfCg\x80,\\\xed'","[('c2x', 70)]","[('8ru', 78)]","{'x': 17, 'y': 'WLZ'}","{'x': 96, 'y': 'PoP'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
145,s145,https://placehold.co/445x255.png,,,inf,-inf,145,single value,1,1.23456789,True,10,-137,-489,219,13,449,946,549,0.09033,0.0051451707,0.35915102966623147,False,False,3.0,,"multiple
lines	string",2023-08-06,2023-07-09,[46],['0M1' '7EmxIO' 'zESBkJXnc'],b'\xaf\xe3W2\x9a\xe8\x1c`',"[('Xhp', 56)]","[('FWB', 77)]","{'x': 72, 'y': 'Sy6'}","{'x': 22, 'y': 'VGQ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
146,s146,https://placehold.co/446x254.png,,,inf,-inf,146,single value,1,1.23456789,True,114,734,-601,-175,142,204,573,133,0.771,0.81994694,0.3838471518677963,True,,2.0,c having special characters: !@#$%^&*(),,2023-07-09,2023-05-16,[53 59 56 46],['nrW' 'JVEFJq' 'H9HUVBnAT'],b'\xff\x0ct\xe2\xfe\xd5y\xcd',"[('SbG', 29)]",,"{'x': 3, 'y': 'JHN'}","{'x': 57, 'y': '9ta'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
147,s147,https://placehold.co/447x253.png,,,inf,-inf,147,single value,1,1.23456789,True,-48,843,-347,524,158,125,440,711,0.06824,0.22862516,0.4658128070202485,True,False,3.0,,emoji 🤣,2023-06-12,2023-02-12,,['Op2' 'bq1f1h' 'YnTQ1LAMW'],b'\xd3\xc8\xaf',"[('VFF', 17)]","[('eMC', 10)]","{'x': 8, 'y': 'Rcg'}","{'x': 81, 'y': 'aez'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
148,s148,https://placehold.co/448x252.png,,,inf,-inf,148,single value,1,1.23456789,True,7,-512,-29,649,0,746,193,22,0.837,0.9087013,0.8359980637812094,True,False,,emoji 🤣,a with space,2023-06-29,2023-12-19,[ 4 83],['YXJ' 'HLk8sJ' '7F3YiUzdr'],b'\xee',"[('EsO', 92)]",,"{'x': 25, 'y': 'C22'}","{'x': 0, 'y': 'GQv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
